genres,popularity,title,vote_average
"Animation, Comedy, Family",21.946943,Toy story,7.7
"Adventure, Fantasy, Family",17.015539,Jumanji,6.9
"Romance, Comedy",11.7129,Grumpier old men,6.5
"Comedy, Drama, Romance",3.859495,Waiting to exhale,6.1
Comedy,8.387519,Father of the bride part ii,5.7
"Action, Crime, Drama, Thriller",17.924927,Heat,7.7
"Comedy, Romance",6.677277,Sabrina,6.2
"Action, Adventure, Drama, Family",2.561161,Tom and huck,5.4
"Action, Adventure, Thriller",5.23158,Sudden death,5.5
"Adventure, Action, Thriller",14.686036,Goldeneye,6.6
"Comedy, Drama, Romance",6.318445,The american president,6.5
"Comedy, Horror",5.430331,Dracula: dead and loving it,5.7
"Family, Animation, Adventure",12.140733,Balto,7.1
"History, Drama",5.092,Nixon,7.1
"Action, Adventure",7.284477,Cutthroat island,5.7
"Drama, Crime",10.137389,Casino,7.8
"Drama, Romance",10.673167,Sense and sensibility,7.2
"Crime, Comedy",9.026586,Four rooms,6.5
"Crime, Comedy, Adventure",8.205448,Ace ventura: when nature calls,6.1
"Action, Comedy, Crime",7.337906,Money train,5.4
"Comedy, Thriller, Crime",12.669608,Get shorty,6.4
"Drama, Thriller",10.701801,Copycat,6.5
"Action, Adventure, Crime, Thriller",11.065939,Assassins,6.0
"Drama, Fantasy, Science Fiction, Thriller",12.133094,Powder,6.3
"Drama, Romance",10.332025,Leaving las vegas,7.1
Drama,1.845899,Othello,7.0
"Comedy, Drama, Family",8.681325,Now and then,6.6
"Drama, Romance",2.228434,Persuasion,7.4
"Fantasy, Science Fiction, Adventure",9.822423,The city of lost children,7.6
"Drama, Crime",1.100915,Shanghai triad,6.5
"Drama, Crime",9.481338,Dangerous minds,6.4
"Science Fiction, Thriller, Mystery",12.297305,Twelve monkeys,7.4
"Romance, Adventure",0.745542,Wings of courage,6.8
"Fantasy, Drama, Comedy, Family",14.404764,Babe,6.0
"History, Drama, Romance",1.493361,Carrington,6.4
Drama,6.891317,Dead man walking,7.3
"Adventure, History, Drama, Family",0.114469,Across the sea of time,3.5
"Comedy, Family, Romance",7.777735,It takes two,6.1
"Comedy, Drama, Romance",9.882383,Clueless,6.9
Drama,0.894647,"Cry, the beloved country",6.7
"Drama, War",4.561387,Richard iii,6.9
"Action, Crime, Drama, History",9.87957,Dead presidents,6.6
"Drama, Romance",10.979269,Restoration,6.3
"Action, Fantasy",10.870138,Mortal kombat,5.4
"Fantasy, Drama, Comedy, Thriller",10.448481,To die for,6.7
"Drama, Romance",4.485958,How to make an american quilt,6.5
