genres,popularity,title,vote_average
"Animation, Comedy, Family",0.043893886,Toy story,7.7
"Adventure, Fantasy, Family",0.034031078,Jumanji,6.9
"Romance, Comedy",0.0234258,Grumpier old men,6.5
"Comedy, Drama, Romance",0.00771899,Waiting to exhale,6.1
Comedy,0.016775038,Father of the bride part ii,5.7
"Action, Crime, Drama, Thriller",0.035849854,Heat,7.7
"Comedy, Romance",0.013354554000000001,Sabrina,6.2
"Action, Adventure, Drama, Family",0.0051223219999999995,Tom and huck,5.4
"Action, Adventure, Thriller",0.01046316,Sudden death,5.5
"Adventure, Action, Thriller",0.029372072,Goldeneye,6.6
"Comedy, Drama, Romance",0.01263689,The american president,6.5
"Comedy, Horror",0.010860662,Dracula: dead and loving it,5.7
"Family, Animation, Adventure",0.024281466,Balto,7.1
"History, Drama",0.010183999999999999,Nixon,7.1
"Action, Adventure",0.014568954,Cutthroat island,5.7
"Drama, Crime",0.020274778,Casino,7.8
"Drama, Romance",0.021346333999999998,Sense and sensibility,7.2
"Crime, Comedy",0.018053172,Four rooms,6.5
"Crime, Comedy, Adventure",0.016410896,Ace ventura: when nature calls,6.1
"Action, Comedy, Crime",0.014675812,Money train,5.4
"Comedy, Thriller, Crime",0.025339216,Get shorty,6.4
"Drama, Thriller",0.021403602,Copycat,6.5
"Action, Adventure, Crime, Thriller",0.022131878,Assassins,6.0
"Drama, Fantasy, Science Fiction, Thriller",0.024266188,Powder,6.3
"Drama, Romance",0.02066405,Leaving las vegas,7.1
Drama,0.003691798,Othello,7.0
"Comedy, Drama, Family",0.01736265,Now and then,6.6
"Drama, Romance",0.004456868,Persuasion,7.4
"Fantasy, Science Fiction, Adventure",0.019644846,The city of lost children,7.6
"Drama, Crime",0.00220183,Shanghai triad,6.5
"Drama, Crime",0.018962675999999998,Dangerous minds,6.4
"Science Fiction, Thriller, Mystery",0.02459461,Twelve monkeys,7.4
"Romance, Adventure",0.0014910840000000002,Wings of courage,6.8
"Fantasy, Drama, Comedy, Family",0.028809528,Babe,6.0
"History, Drama, Romance",0.002986722,Carrington,6.4
Drama,0.013782634,Dead man walking,7.3
"Adventure, History, Drama, Family",0.000228938,Across the sea of time,3.5
"Comedy, Family, Romance",0.01555547,It takes two,6.1
"Comedy, Drama, Romance",0.019764766000000003,Clueless,6.9
Drama,0.0017892939999999999,"Cry, the beloved country",6.7
"Drama, War",0.009122774,Richard iii,6.9
"Action, Crime, Drama, History",0.019759139999999998,Dead presidents,6.6
"Drama, Romance",0.021958538,Restoration,6.3
"Action, Fantasy",0.021740276000000003,Mortal kombat,5.4
"Fantasy, Drama, Comedy, Thriller",0.020896961999999998,To die for,6.7
"Drama, Romance",0.008971916,How to make an american quilt,6.5
"Crime, Mystery, Thriller",0.03691486,Se7en,8.1
"Adventure, Animation, Drama, Family",0.026560137999999997,Pocahontas,6.7
"Drama, Romance",0.006605048,When night is falling,5.9
